Acordo de Nível de Serviço,No Prazo,%,Fora do Prazo,%,Total de Chamados,Total de Chamados Reabertos
A COMBINAR - CIT,44,"100,00%",0,0.00%,44,0
A COMBINAR - CIT,27,100%,0,0.00%,27,0
A COMBINAR - CIT,3,100%,0,0.00%,3,0
A COMBINAR - CIT,56,"100,00%",0,0.00%,56,0
A COMBINAR - CIT,9,100%,0,0.00%,9,0
CIT - Requisição - Baixa 16 horas,7,"100,00%",0,0.00%,7,0
CIT - Requisição - Baixa 16 horas,1,50%,1,50%,2,0
CIT - Requisição - Baixa 16 horas,2,"100,00%",0,0.00%,2,0
CIT - Requisição - Baixa 16 horas,4,100%,0,0.00%,4,0
CIT - Requisição - Baixa 16 horas,1,100%,0,0.00%,1,0
CIT - Requisição - Baixa 16 horas,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,"100,00%",0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,"100,00%",0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
CIT - Requisição - Baixa 48 horas,8,100%,0,0.00%,8,0
CIT - Requisição - Baixa 48 horas,8,100%,0,0.00%,8,0
CIT - Requisição - Média 08 horas,2,67%,1,"33,33%",3,0
Incidente - Alta 02 horas - CIT,1,100%,0,0.00%,1,0
Incidente - Alta 02 horas - CIT,50,100%,0,0.00%,50,0
Incidente - Alta 02 horas - CIT,11,100%,0,0.00%,11,0
Incidente - Alta 02 horas - CIT,1,100%,0,0.00%,1,1
Requisição - Alta 04 horas - CIT,16,89%,2,"11,11%",18,0
Requisição - Alta 04 horas - CIT,37,100%,0,0.00%,37,1
Requisição - Alta 04 horas - CIT,14,82%,3,"17,65%",17,0
Requisição - Alta 04 horas - CIT,161,98%,4,"2,42%",165,0
Requisição - Baixa 08 horas - CIT,1,100%,0,0.00%,1,0
Requisição - Baixa 16 horas - CIT,6,100%,0,0.00%,6,0
Requisição - Baixa 16 horas - CIT,1,100%,0,0.00%,1,0
Requisição - Média 08 horas - CIT,80,100%,0,0.00%,80,0
Requisição - Média 08 horas - CIT,240,100%,0,0.00%,240,0
Requisição - Média 08 horas - CIT,2,100%,0,0.00%,2,0
Requisição - Média 08 horas - CIT,18,100%,0,0.00%,18,0
Requisição - Média 08 horas - CIT,1,100%,0,0.00%,1,0
Requisição - Média 08 horas - CIT,1,100%,0,0.00%,1,0
Requisição - Média 08 horas - CIT,1,100%,0,0.00%,1,0
Requisição - Média 08 horas - CIT,6,100%,0,0.00%,6,0
Requisição - Média 08 horas - CIT,18,100%,0,0.00%,18,1
Requisição - Média 08 horas - CIT,2,100%,0,0.00%,2,0
