Acordo de Nível de Serviço,No Prazo,%,Fora do Prazo,%,Total de Chamados,Total de Chamados Reabertos
(CIT) Incidente - Alta 02 horas,78,"98,73%",1,"1,27%",79,0
(CIT) Incidente - Alta 02 horas,8,100%,0,0.00%,8,0
(CIT) Incidente - Alta 02 horas,69,100%,0,0.00%,69,0
(CIT) Incidente - Alta 02 horas,2,"66,67%",1,"33,33%",3,0
(CIT) Incidente - Alta 02 horas,1,100%,0,0.00%,1,0
(CIT) Incidente - Alta 02 horas,10,"83,33%",2,"16,67%",12,0
(CIT) Requisição - Alta 04 horas,7,100%,0,0.00%,7,0
(CIT) Requisição - Alta 04 horas,385,"99,74%",1,"0,26%",386,0
(CIT) Requisição - Alta 04 horas,4,100%,0,0.00%,4,0
(CIT) Requisição - Alta 04 horas,4,100%,0,0.00%,4,0
(CIT) Requisição - Alta 04 horas,48,100%,0,0.00%,48,0
(CIT) Requisição - Alta 04 horas,7,"87,50%",1,"12,50%",8,0
(CIT) Requisição - Alta 04 horas,1,100%,0,0.00%,1,0
(CIT) Requisição - Alta 04 horas,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 05 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 05 dias,7,100%,0,0.00%,7,0
(CIT) Requisição - Baixa 05 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 16 horas,149,"99,33%",1,"0,67%",150,0
(CIT) Requisição - Baixa 16 horas,129,100%,0,0.00%,129,0
(CIT) Requisição - Baixa 16 horas,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 16 horas,17,100%,0,0.00%,17,1
(CIT) Requisição - Baixa 16 horas,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 16 horas,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 16 horas,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 16 horas,92,100%,0,0.00%,92,0
(CIT) Requisição - Baixa 16 horas,3,100%,0,0.00%,3,0
(CIT) Requisição - Baixa 16 horas,2,100%,0,0.00%,2,0
(CIT) Requisição - Baixa 16 horas,17,100%,0,0.00%,17,0
(CIT) Requisição - Baixa 16 horas,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,2,100%,0,0.00%,2,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Baixa 30 dias,1,100%,0,0.00%,1,0
(CIT) Requisição - Média 08 horas,13,100%,0,0.00%,13,0
(CIT) Requisição - Média 08 horas,140,100%,0,0.00%,140,0
(CIT) Requisição - Média 08 horas,7,100%,0,0.00%,7,0
(CIT) Requisição - Média 08 horas,1,100%,0,0.00%,1,0
(CIT) Requisição - Média 08 horas,2,100%,0,0.00%,2,0
(CIT) Requisição - Média 08 horas,41,100%,0,0.00%,41,0
(CIT) Requisição - Média 08 horas,198,100%,0,0.00%,198,0
(CIT) Requisição - Média 08 horas,32,100%,0,0.00%,32,0
(CIT) Requisição - Média 08 horas,5,100%,0,0.00%,5,0
(CIT) Requisição - Média 08 horas,12,100%,0,0.00%,12,0
(CIT) Requisição - Média 08 horas,2,100%,0,0.00%,2,0
(CIT) Requisição - Média 08 horas,5,100%,0,0.00%,5,0
(MINC/CIT) Requisição - Baixa 5 dias,9,100%,0,0.00%,9,0
(MINC) Requisição - Baixa 24 horas,2,100%,0,0.00%,2,0
(MINC) Requisição - Baixa 48 horas,2,100%,0,0.00%,2,0
(MINC) Requisição - Baixa 72 horas,1,100%,0,0.00%,1,0
(MINC) Requisição - Baixa 80 horas,25,100%,0,0.00%,25,0
(URA) Triagem - Alta 30 mim,59,"98,33%",1,"1,67%",60,0
