Campo;Valor
Número do contrato;40/2022
Processo SEI;72031.010172/2020-97
Empresa contratada;CENTRAL IT TECNOLOGIA DA INFORMACAO S/A
CNPJ da contratada;07.171.299/0001-96
Objeto;O objeto do presente instrumento é a contratação de solução de tecnologia da informação e comunicação de serviços de operação de infraestrutura e atendimento a usuários de Tecnologia da Informação e Comunicação, realizada por meio de modelo de pagamento fixo mensal, vinculada exclusivamente ao atendimento de níveis mínimos de serviços previamente estabelecidos, que serão prestados nas condições estabelecidas no Termo de Referência.
Termo Aditivo 1; 1518547
Termo Aditivo 2; 1925494
Termo Aditivo 3; 2600057
Vigência;12 meses
Portaria Equipe; SGI/MINC 193/2026
Início da vigência; 10/12/2025
Término da vigência; 09/12/2026
