ID,OCORRÊNCIA,SANÇÃO
1,Não comparecer injustificadamente à Reunião Inicial.,"Advertência. Em caso de reincidência, multa de 1% sobre o valor total do Contrato."
2,"Quando convocado dentro do prazo de validade da sua proposta, não celebrar o CONTRATO, deixar de entregar ou apresentar documentação falsa exigida para o certame, ensejar o retardamento da execução de seu objeto, não manter a proposta, falhar ou fraudar na execução do Contrato, comportar-se de modo inidôneo ou cometer fraude fiscal.","A Contratada ficará impedida de licitar e contratar com a União, Estados, Distrito Federal e Municípios e, será descredenciada no SICAF, ou nos sistemas de cadastramento de fornecedores a que se refere o inciso XIV do art. 4º da Lei nº 10.520/2002, pelo prazo de atê 5 (cinco) anos, sem prejuízo das demais cominações legais, e multa de 3% do valor total do Contrato."
3,Ter praticado atos ilícitos visando frustrar os objetivos da licitação.,A CONTRATADA será declarada inidônea para licitar e contratar com a Administração.
4,Demonstrar não possuir idoneidade para contratar com a Administração em virtude de atos ilícitos praticados.,"Suspensão temporária de 6 (seis) meses para licitar e contratar com a Administração, sem prejuízo da Rescisão Contratual."
5,Não executar total ou parcialmente os serviços previstos no objeto da contratação.,"Suspensão temporária de 6 (seis) meses para licitar e contratar com a Administração, sem prejuízo da Rescisão Contratual."
6,"Suspender ou interromper, salvo motivo de força maior ou caso fortuito, os serviços solicitados, por atê 30 (trinta) dias, sem comunicação formal ao gestor do Contrato.","Multa de 5% sobre o valor total do Contrato. Em caso de reincidência, configura-se inexecução total do Contrato por parte da empresa, ensejando a rescisão contratual unilateral."
7,"Suspender ou interromper, salvo motivo de força maior ou caso fortuito, os serviços solicitados, por mais de 30 (trinta) dias, sem comunicação formal ao gestor do contrato.","Contratada será declarada inidônea para licitar e contratar com a Administração, sem prejuízo da Rescisão Contratual."
8,"Não prestar os esclarecimentos imediatamente, referente à execução dos serviços, salvo quando implicarem em indagações de caráter têcnico, hipótese em que serão respondidos no prazo máximo de 24 (vinte e quatro) horas úteis.","Advertência No caso de reincidência, multa de 0,05% sobre o valor total do Contrato por dia útil de atraso em prestar as informações por escrito, ou por outro meio quando autorizado pela Contratante, atê o limite de 20 (vinte) dias úteis."
8,"Não prestar os esclarecimentos imediatamente, referente à execução dos serviços, salvo quando implicarem em indagações de caráter têcnico, hipótese em que serão respondidos no prazo máximo de 24 (vinte e quatro) horas úteis.","Após o limite de 20 (vinte) dias úteis, aplicar-se-á multa de 1,5% do valor total do Contrato."
9,"Provocar intencionalmente a indisponibilidade da prestação dos serviços quanto aos componentes de software (sistemas, portais, funcionalidades, banco de dados, programas, relatórios, consultas, etc).","A CONTRATADA será declarada inidônea para licitar ou contratar com a Administração Pública, sem prejuízo às penalidades decorrentes da inexecução total ou parcial do contrato, o que poderá acarretar a rescisão do Contrato, sem prejuízo das demais penalidades previstas na Lei nº 8.666, de 21 de junho de 1993."
10,"Permitir intencionalmente o funcionamento dos sistemas de modo adverso ao especificado na fase de levantamento de requisitos e às cláusulas contratuais, provocando prejuízo aos usuários dos serviços.","A CONTRATADA será declarada inidônea para licitar ou contratar com a Administração Pública, sem prejuízo às penalidades decorrentes da inexecução total ou parcial do contrato, o que poderá acarretar a rescisão do Contrato, sem prejuízo das demais penalidades previstas na Lei nº 8.666, de 21 de junho de 1993."
11,"Comprometer intencionalmente a integridade, disponibilidade, confidencialidade e autenticidade das bases de dados dos sistemas.","A CONTRATADA será declarada inidônea para licitar ou contratar com a Administração Pública, sem prejuízo às penalidades decorrentes da inexecução total ou parcial do contrato, o que poderá acarretar a rescisão do Contrato, sem prejuízo das demais penalidades previstas na Lei nº 8.666, de 21 de junho de 1993."
12,Comprometer intencionalmente o sigilo das informações armazenadas nos sistemas do CONTRATANTE.,"A CONTRATADA será declarada inidônea para licitar ou contratar com a Administração Pública, sem prejuízo às penalidades decorrentes da inexecução total ou parcial do contrato, o que poderá acarretar a rescisão do Contrato, sem prejuízo das demais penalidades previstas na Lei nº 8.666, de 21 de junho de 1993."
13,Percentual de glosa mensal acima de 30% (trinta por cento) três vezes em um período inferior à 6 (seis) meses.,"Multa de 5% do valor total do Contrato, declaração de inexecução parcial do Contrato e rescisão contratual."
14,"Manipular, por quaisquer meios ou estratêgias, indicadores de níveis de serviço e/ou relatórios de serviço e/ou bases de dados das ferramentas de gerenciamento de serviços e monitoramento do ambiente tecnológico de modo a alterar e/ou interferir indevidamente nos resultados dos serviços prestados e/ou nas avaliações de qualidade e/ou nos níveis de serviço.","A CONTRATADA será declarada inidônea para licitar ou contratar com a Administração Pública, sem prejuízo às penalidades decorrentes da inexecução total ou parcial do contrato, o que poderá acarretar a rescisão do Contrato, sem prejuízo das demais penalidades previstas na Lei nº 8.666, de 21 de junho de 1993. Multa de 5% do valor total do Contrato, declaração de inexecução parcial do Contrato e rescisão contratual."
15,Utilizar as dependências e/ou os recursos do CONTRATANTE para fins estranhos à execução do objeto do CONTRATO e/ou em desacordo com as instruções e normas internas do CONTRATANTE.,"Advertência Em caso de reincidência, multa de 1% do valor total do Contrato."
16,"Deixar de cumprir determinação e/ou instrução formal do CONTRATANTE, inclusive as emitidas pela equipe de fiscalização do CONTRATO.","Advertência Em caso de reincidência, multa de 1% do valor total do Contrato."
